"No.","Time","Source","Destination","Protocol","Length","Info"
"84","1.002456","10.1.1.1","10.1.2.1","TCP","94","49153  >  9 [SYN] Seq=0 Win=65535 Len=0 TSval=0 TSecr=0 WS=4 SACK_PERM"
"90","1.003044","10.1.1.1","10.1.2.3","TCP","94","49155  >  11 [SYN] Seq=0 Win=65535 Len=0 TSval=0 TSecr=0 WS=4 SACK_PERM"
"98","1.003800","10.1.1.1","10.1.2.2","TCP","94","49154  >  10 [SYN] Seq=0 Win=65535 Len=0 TSval=0 TSecr=0 WS=4 SACK_PERM"
"106","1.004483","10.1.1.1","10.1.2.4","TCP","94","49156  >  12 [SYN] Seq=0 Win=65535 Len=0 TSval=0 TSecr=0 WS=4 SACK_PERM"
"112","1.005080","10.1.1.1","10.1.2.5","TCP","94","49157  >  13 [SYN] Seq=0 Win=65535 Len=0 TSval=0 TSecr=0 WS=4 SACK_PERM"
"165","2.998136","10.1.1.1","10.1.2.1","TCP","94","[TCP Port numbers reused] 49153  >  9 [SYN] Seq=0 Win=65535 Len=0 TSval=3000 TSecr=0 WS=4 SACK_PERM"
"169","2.998524","10.1.1.1","10.1.2.2","TCP","94","[TCP Port numbers reused] 49154  >  10 [SYN] Seq=0 Win=65535 Len=0 TSval=3000 TSecr=0 WS=4 SACK_PERM"
"173","2.998831","10.1.1.1","10.1.2.3","TCP","94","[TCP Port numbers reused] 49155  >  11 [SYN] Seq=0 Win=65535 Len=0 TSval=3000 TSecr=0 WS=4 SACK_PERM"
"177","2.999183","10.1.1.1","10.1.2.4","TCP","94","[TCP Port numbers reused] 49156  >  12 [SYN] Seq=0 Win=65535 Len=0 TSval=3000 TSecr=0 WS=4 SACK_PERM"
"181","2.999562","10.1.1.1","10.1.2.5","TCP","94","[TCP Port numbers reused] 49157  >  13 [SYN] Seq=0 Win=65535 Len=0 TSval=3000 TSecr=0 WS=4 SACK_PERM"
"243","8.998140","10.1.1.1","10.1.2.1","TCP","94","[TCP Port numbers reused] 49153  >  9 [SYN] Seq=0 Win=65535 Len=0 TSval=9000 TSecr=0 WS=4 SACK_PERM"
"247","8.998465","10.1.1.1","10.1.2.2","TCP","94","[TCP Port numbers reused] 49154  >  10 [SYN] Seq=0 Win=65535 Len=0 TSval=9000 TSecr=0 WS=4 SACK_PERM"
"251","8.998799","10.1.1.1","10.1.2.3","TCP","94","[TCP Port numbers reused] 49155  >  11 [SYN] Seq=0 Win=65535 Len=0 TSval=9000 TSecr=0 WS=4 SACK_PERM"
"255","8.999115","10.1.1.1","10.1.2.4","TCP","94","[TCP Port numbers reused] 49156  >  12 [SYN] Seq=0 Win=65535 Len=0 TSval=9000 TSecr=0 WS=4 SACK_PERM"
"259","8.999395","10.1.1.1","10.1.2.5","TCP","94","[TCP Port numbers reused] 49157  >  13 [SYN] Seq=0 Win=65535 Len=0 TSval=9000 TSecr=0 WS=4 SACK_PERM"
"381","20.998135","10.1.1.1","10.1.2.1","TCP","94","[TCP Port numbers reused] 49153  >  9 [SYN] Seq=0 Win=65535 Len=0 TSval=21000 TSecr=0 WS=4 SACK_PERM"
"385","20.998496","10.1.1.1","10.1.2.2","TCP","94","[TCP Port numbers reused] 49154  >  10 [SYN] Seq=0 Win=65535 Len=0 TSval=21000 TSecr=0 WS=4 SACK_PERM"
"389","20.998758","10.1.1.1","10.1.2.3","TCP","94","[TCP Port numbers reused] 49155  >  11 [SYN] Seq=0 Win=65535 Len=0 TSval=21000 TSecr=0 WS=4 SACK_PERM"
"393","20.999128","10.1.1.1","10.1.2.4","TCP","94","[TCP Port numbers reused] 49156  >  12 [SYN] Seq=0 Win=65535 Len=0 TSval=21000 TSecr=0 WS=4 SACK_PERM"
"397","20.999471","10.1.1.1","10.1.2.5","TCP","94","[TCP Port numbers reused] 49157  >  13 [SYN] Seq=0 Win=65535 Len=0 TSval=21000 TSecr=0 WS=4 SACK_PERM"
"635","44.998138","10.1.1.1","10.1.2.1","TCP","94","[TCP Port numbers reused] 49153  >  9 [SYN] Seq=0 Win=65535 Len=0 TSval=45000 TSecr=0 WS=4 SACK_PERM"
"639","44.998472","10.1.1.1","10.1.2.2","TCP","94","[TCP Port numbers reused] 49154  >  10 [SYN] Seq=0 Win=65535 Len=0 TSval=45000 TSecr=0 WS=4 SACK_PERM"
"643","44.998761","10.1.1.1","10.1.2.3","TCP","94","[TCP Port numbers reused] 49155  >  11 [SYN] Seq=0 Win=65535 Len=0 TSval=45000 TSecr=0 WS=4 SACK_PERM"
"647","44.999050","10.1.1.1","10.1.2.4","TCP","94","[TCP Port numbers reused] 49156  >  12 [SYN] Seq=0 Win=65535 Len=0 TSval=45000 TSecr=0 WS=4 SACK_PERM"
"651","44.999339","10.1.1.1","10.1.2.5","TCP","94","[TCP Port numbers reused] 49157  >  13 [SYN] Seq=0 Win=65535 Len=0 TSval=45000 TSecr=0 WS=4 SACK_PERM"
