"No.","Time","Source","Destination","Protocol","Length","Info"
"136","0.999806","10.1.1.1","10.1.2.1","TCP","94","49153  >  9 [SYN] Seq=0 Win=65535 Len=0 TSval=0 TSecr=0 WS=4 SACK_PERM"
"140","1.000185","10.1.1.1","10.1.2.2","TCP","94","49154  >  10 [SYN] Seq=0 Win=65535 Len=0 TSval=0 TSecr=0 WS=4 SACK_PERM"
"144","1.000456","10.1.1.1","10.1.2.3","TCP","94","49155  >  11 [SYN] Seq=0 Win=65535 Len=0 TSval=0 TSecr=0 WS=4 SACK_PERM"
"148","1.000773","10.1.1.1","10.1.2.4","TCP","94","49156  >  12 [SYN] Seq=0 Win=65535 Len=0 TSval=0 TSecr=0 WS=4 SACK_PERM"
"152","1.001044","10.1.1.1","10.1.2.5","TCP","94","49157  >  13 [SYN] Seq=0 Win=65535 Len=0 TSval=0 TSecr=0 WS=4 SACK_PERM"
"157","1.099885","10.1.1.1","10.1.2.2","TCP","78","16  >  49153 [RST, ACK] Seq=1 Ack=1 Win=65535 Len=0"
"159","1.102095","10.1.1.1","10.1.2.4","TCP","78","18  >  49153 [RST, ACK] Seq=1 Ack=1 Win=65535 Len=0"
"161","1.103594","10.1.1.1","10.1.2.3","TCP","78","17  >  49153 [RST, ACK] Seq=1 Ack=1 Win=65535 Len=0"
"163","1.105084","10.1.1.1","10.1.2.5","TCP","78","19  >  49153 [RST, ACK] Seq=1 Ack=1 Win=65535 Len=0"
"165","1.106052","10.1.1.1","10.1.2.1","TCP","78","15  >  49153 [RST, ACK] Seq=1 Ack=1 Win=65535 Len=0"
"186","2.998136","10.1.1.1","10.1.2.1","TCP","94","[TCP Port numbers reused] 49153  >  9 [SYN] Seq=0 Win=65535 Len=0 TSval=3000 TSecr=0 WS=4 SACK_PERM"
"190","2.998470","10.1.1.1","10.1.2.2","TCP","94","[TCP Port numbers reused] 49154  >  10 [SYN] Seq=0 Win=65535 Len=0 TSval=3000 TSecr=0 WS=4 SACK_PERM"
"194","2.998786","10.1.1.1","10.1.2.3","TCP","94","[TCP Port numbers reused] 49155  >  11 [SYN] Seq=0 Win=65535 Len=0 TSval=3000 TSecr=0 WS=4 SACK_PERM"
"198","2.999066","10.1.1.1","10.1.2.4","TCP","94","[TCP Port numbers reused] 49156  >  12 [SYN] Seq=0 Win=65535 Len=0 TSval=3000 TSecr=0 WS=4 SACK_PERM"
"202","2.999364","10.1.1.1","10.1.2.5","TCP","94","[TCP Port numbers reused] 49157  >  13 [SYN] Seq=0 Win=65535 Len=0 TSval=3000 TSecr=0 WS=4 SACK_PERM"
"229","4.098553","10.1.1.1","10.1.2.3","TCP","78","17  >  49153 [RST, ACK] Seq=1 Ack=1 Win=65535 Len=0"
"231","4.098693","10.1.1.1","10.1.2.1","TCP","78","15  >  49153 [RST, ACK] Seq=1 Ack=1 Win=65535 Len=0"
"233","4.098941","10.1.1.1","10.1.2.5","TCP","78","19  >  49153 [RST, ACK] Seq=1 Ack=1 Win=65535 Len=0"
"235","4.099171","10.1.1.1","10.1.2.2","TCP","78","16  >  49153 [RST, ACK] Seq=1 Ack=1 Win=65535 Len=0"
"237","4.099347","10.1.1.1","10.1.2.4","TCP","78","18  >  49153 [RST, ACK] Seq=1 Ack=1 Win=65535 Len=0"
"286","8.998140","10.1.1.1","10.1.2.1","TCP","94","[TCP Port numbers reused] 49153  >  9 [SYN] Seq=0 Win=65535 Len=0 TSval=9000 TSecr=0 WS=4 SACK_PERM"
"290","8.998429","10.1.1.1","10.1.2.2","TCP","94","[TCP Port numbers reused] 49154  >  10 [SYN] Seq=0 Win=65535 Len=0 TSval=9000 TSecr=0 WS=4 SACK_PERM"
"294","8.998718","10.1.1.1","10.1.2.3","TCP","94","[TCP Port numbers reused] 49155  >  11 [SYN] Seq=0 Win=65535 Len=0 TSval=9000 TSecr=0 WS=4 SACK_PERM"
"298","8.999007","10.1.1.1","10.1.2.4","TCP","94","[TCP Port numbers reused] 49156  >  12 [SYN] Seq=0 Win=65535 Len=0 TSval=9000 TSecr=0 WS=4 SACK_PERM"
"302","8.999314","10.1.1.1","10.1.2.5","TCP","94","[TCP Port numbers reused] 49157  >  13 [SYN] Seq=0 Win=65535 Len=0 TSval=9000 TSecr=0 WS=4 SACK_PERM"
"328","10.098359","10.1.1.1","10.1.2.2","TCP","78","16  >  49153 [RST, ACK] Seq=1 Ack=1 Win=65535 Len=0"
"330","10.098517","10.1.1.1","10.1.2.5","TCP","78","19  >  49153 [RST, ACK] Seq=1 Ack=1 Win=65535 Len=0"
"332","10.098774","10.1.1.1","10.1.2.3","TCP","78","17  >  49153 [RST, ACK] Seq=1 Ack=1 Win=65535 Len=0"
"334","10.099004","10.1.1.1","10.1.2.4","TCP","78","18  >  49153 [RST, ACK] Seq=1 Ack=1 Win=65535 Len=0"
"336","10.099207","10.1.1.1","10.1.2.1","TCP","78","15  >  49153 [RST, ACK] Seq=1 Ack=1 Win=65535 Len=0"
"445","20.998135","10.1.1.1","10.1.2.1","TCP","94","[TCP Port numbers reused] 49153  >  9 [SYN] Seq=0 Win=65535 Len=0 TSval=21000 TSecr=0 WS=4 SACK_PERM"
"449","20.998424","10.1.1.1","10.1.2.2","TCP","94","[TCP Port numbers reused] 49154  >  10 [SYN] Seq=0 Win=65535 Len=0 TSval=21000 TSecr=0 WS=4 SACK_PERM"
"453","20.998767","10.1.1.1","10.1.2.3","TCP","94","[TCP Port numbers reused] 49155  >  11 [SYN] Seq=0 Win=65535 Len=0 TSval=21000 TSecr=0 WS=4 SACK_PERM"
"457","20.999038","10.1.1.1","10.1.2.4","TCP","94","[TCP Port numbers reused] 49156  >  12 [SYN] Seq=0 Win=65535 Len=0 TSval=21000 TSecr=0 WS=4 SACK_PERM"
"461","20.999381","10.1.1.1","10.1.2.5","TCP","94","[TCP Port numbers reused] 49157  >  13 [SYN] Seq=0 Win=65535 Len=0 TSval=21000 TSecr=0 WS=4 SACK_PERM"
"486","22.098329","10.1.1.1","10.1.2.2","TCP","78","16  >  49153 [RST, ACK] Seq=1 Ack=1 Win=65535 Len=0"
"488","22.098793","10.1.1.1","10.1.2.3","TCP","78","17  >  49153 [RST, ACK] Seq=1 Ack=1 Win=65535 Len=0"
"490","22.098960","10.1.1.1","10.1.2.4","TCP","78","18  >  49153 [RST, ACK] Seq=1 Ack=1 Win=65535 Len=0"
"492","22.099361","10.1.1.1","10.1.2.1","TCP","78","15  >  49153 [RST, ACK] Seq=1 Ack=1 Win=65535 Len=0"
"494","22.099555","10.1.1.1","10.1.2.5","TCP","78","19  >  49153 [RST, ACK] Seq=1 Ack=1 Win=65535 Len=0"
"720","44.998138","10.1.1.1","10.1.2.1","TCP","94","[TCP Port numbers reused] 49153  >  9 [SYN] Seq=0 Win=65535 Len=0 TSval=45000 TSecr=0 WS=4 SACK_PERM"
"724","44.998508","10.1.1.1","10.1.2.2","TCP","94","[TCP Port numbers reused] 49154  >  10 [SYN] Seq=0 Win=65535 Len=0 TSval=45000 TSecr=0 WS=4 SACK_PERM"
"728","44.998824","10.1.1.1","10.1.2.3","TCP","94","[TCP Port numbers reused] 49155  >  11 [SYN] Seq=0 Win=65535 Len=0 TSval=45000 TSecr=0 WS=4 SACK_PERM"
"732","44.999194","10.1.1.1","10.1.2.4","TCP","94","[TCP Port numbers reused] 49156  >  12 [SYN] Seq=0 Win=65535 Len=0 TSval=45000 TSecr=0 WS=4 SACK_PERM"
"736","44.999528","10.1.1.1","10.1.2.5","TCP","94","[TCP Port numbers reused] 49157  >  13 [SYN] Seq=0 Win=65535 Len=0 TSval=45000 TSecr=0 WS=4 SACK_PERM"
"762","46.098438","10.1.1.1","10.1.2.2","TCP","78","16  >  49153 [RST, ACK] Seq=1 Ack=1 Win=65535 Len=0"
"764","46.098677","10.1.1.1","10.1.2.4","TCP","78","18  >  49153 [RST, ACK] Seq=1 Ack=1 Win=65535 Len=0"
"766","46.098898","10.1.1.1","10.1.2.3","TCP","78","17  >  49153 [RST, ACK] Seq=1 Ack=1 Win=65535 Len=0"
"768","46.099146","10.1.1.1","10.1.2.5","TCP","78","19  >  49153 [RST, ACK] Seq=1 Ack=1 Win=65535 Len=0"
"770","46.099295","10.1.1.1","10.1.2.1","TCP","78","15  >  49153 [RST, ACK] Seq=1 Ack=1 Win=65535 Len=0"
