"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.1.1.1","10.1.2.1","TCP","58","49153  >  9 [SYN] Seq=0 Win=65535 Len=0 TSval=0 TSecr=0 WS=4 SACK_PERM"
"2","0.000000","10.1.1.1","10.1.2.2","TCP","58","49154  >  10 [SYN] Seq=0 Win=65535 Len=0 TSval=0 TSecr=0 WS=4 SACK_PERM"
"3","0.000000","10.1.1.1","10.1.2.3","TCP","58","49155  >  11 [SYN] Seq=0 Win=65535 Len=0 TSval=0 TSecr=0 WS=4 SACK_PERM"
"4","0.000001","10.1.1.1","10.1.2.4","TCP","58","49156  >  12 [SYN] Seq=0 Win=65535 Len=0 TSval=0 TSecr=0 WS=4 SACK_PERM"
"5","0.000001","10.1.1.1","10.1.2.5","TCP","58","49157  >  13 [SYN] Seq=0 Win=65535 Len=0 TSval=0 TSecr=0 WS=4 SACK_PERM"
"6","3.000000","10.1.1.1","10.1.2.1","TCP","58","[TCP Retransmission] 49153  >  9 [SYN] Seq=0 Win=65535 Len=0 TSval=3000 TSecr=0 WS=4 SACK_PERM"
"7","3.000000","10.1.1.1","10.1.2.2","TCP","58","[TCP Retransmission] 49154  >  10 [SYN] Seq=0 Win=65535 Len=0 TSval=3000 TSecr=0 WS=4 SACK_PERM"
"8","3.000000","10.1.1.1","10.1.2.3","TCP","58","[TCP Retransmission] 49155  >  11 [SYN] Seq=0 Win=65535 Len=0 TSval=3000 TSecr=0 WS=4 SACK_PERM"
"9","3.000001","10.1.1.1","10.1.2.4","TCP","58","[TCP Retransmission] 49156  >  12 [SYN] Seq=0 Win=65535 Len=0 TSval=3000 TSecr=0 WS=4 SACK_PERM"
"10","3.000001","10.1.1.1","10.1.2.5","TCP","58","[TCP Retransmission] 49157  >  13 [SYN] Seq=0 Win=65535 Len=0 TSval=3000 TSecr=0 WS=4 SACK_PERM"
"11","9.000000","10.1.1.1","10.1.2.1","TCP","58","[TCP Retransmission] 49153  >  9 [SYN] Seq=0 Win=65535 Len=0 TSval=9000 TSecr=0 WS=4 SACK_PERM"
"12","9.000000","10.1.1.1","10.1.2.2","TCP","58","[TCP Retransmission] 49154  >  10 [SYN] Seq=0 Win=65535 Len=0 TSval=9000 TSecr=0 WS=4 SACK_PERM"
"13","9.000000","10.1.1.1","10.1.2.3","TCP","58","[TCP Retransmission] 49155  >  11 [SYN] Seq=0 Win=65535 Len=0 TSval=9000 TSecr=0 WS=4 SACK_PERM"
"14","9.000001","10.1.1.1","10.1.2.4","TCP","58","[TCP Retransmission] 49156  >  12 [SYN] Seq=0 Win=65535 Len=0 TSval=9000 TSecr=0 WS=4 SACK_PERM"
"15","9.000001","10.1.1.1","10.1.2.5","TCP","58","[TCP Retransmission] 49157  >  13 [SYN] Seq=0 Win=65535 Len=0 TSval=9000 TSecr=0 WS=4 SACK_PERM"
"16","21.000000","10.1.1.1","10.1.2.1","TCP","58","[TCP Retransmission] 49153  >  9 [SYN] Seq=0 Win=65535 Len=0 TSval=21000 TSecr=0 WS=4 SACK_PERM"
"17","21.000000","10.1.1.1","10.1.2.2","TCP","58","[TCP Retransmission] 49154  >  10 [SYN] Seq=0 Win=65535 Len=0 TSval=21000 TSecr=0 WS=4 SACK_PERM"
"18","21.000000","10.1.1.1","10.1.2.3","TCP","58","[TCP Retransmission] 49155  >  11 [SYN] Seq=0 Win=65535 Len=0 TSval=21000 TSecr=0 WS=4 SACK_PERM"
"19","21.000001","10.1.1.1","10.1.2.4","TCP","58","[TCP Retransmission] 49156  >  12 [SYN] Seq=0 Win=65535 Len=0 TSval=21000 TSecr=0 WS=4 SACK_PERM"
"20","21.000001","10.1.1.1","10.1.2.5","TCP","58","[TCP Retransmission] 49157  >  13 [SYN] Seq=0 Win=65535 Len=0 TSval=21000 TSecr=0 WS=4 SACK_PERM"
"21","45.000000","10.1.1.1","10.1.2.1","TCP","58","[TCP Retransmission] 49153  >  9 [SYN] Seq=0 Win=65535 Len=0 TSval=45000 TSecr=0 WS=4 SACK_PERM"
"22","45.000000","10.1.1.1","10.1.2.2","TCP","58","[TCP Retransmission] 49154  >  10 [SYN] Seq=0 Win=65535 Len=0 TSval=45000 TSecr=0 WS=4 SACK_PERM"
"23","45.000000","10.1.1.1","10.1.2.3","TCP","58","[TCP Retransmission] 49155  >  11 [SYN] Seq=0 Win=65535 Len=0 TSval=45000 TSecr=0 WS=4 SACK_PERM"
"24","45.000001","10.1.1.1","10.1.2.4","TCP","58","[TCP Retransmission] 49156  >  12 [SYN] Seq=0 Win=65535 Len=0 TSval=45000 TSecr=0 WS=4 SACK_PERM"
"25","45.000001","10.1.1.1","10.1.2.5","TCP","58","[TCP Retransmission] 49157  >  13 [SYN] Seq=0 Win=65535 Len=0 TSval=45000 TSecr=0 WS=4 SACK_PERM"
