"No.","Time","Source","Destination","Protocol","Length","Sender IP address","Info"
"110","0.919177","10.1.2.21","10.1.1.2","TCP","94","","49153  >  59 [SYN] Seq=0 Win=65535 Len=0 TSval=1000 TSecr=0 WS=4 SACK_PERM"
"118","0.922170","10.1.2.13","10.1.1.2","TCP","94","","49153  >  51 [SYN] Seq=0 Win=65535 Len=0 TSval=1000 TSecr=0 WS=4 SACK_PERM"
"127","0.923716","10.1.2.17","10.1.1.2","TCP","94","","49153  >  55 [SYN] Seq=0 Win=65535 Len=0 TSval=1000 TSecr=0 WS=4 SACK_PERM"
"132","0.924857","10.1.2.11","10.1.1.2","TCP","94","","49153  >  49 [SYN] Seq=0 Win=65535 Len=0 TSval=1000 TSecr=0 WS=4 SACK_PERM"
"136","0.925091","10.1.2.3","10.1.1.2","TCP","94","","49153  >  41 [SYN] Seq=0 Win=65535 Len=0 TSval=1000 TSecr=0 WS=4 SACK_PERM"
"151","0.927281","10.1.2.5","10.1.1.2","TCP","94","","49153  >  43 [SYN] Seq=0 Win=65535 Len=0 TSval=1000 TSecr=0 WS=4 SACK_PERM"
"156","0.928462","10.1.2.7","10.1.1.2","TCP","94","","49153  >  45 [SYN] Seq=0 Win=65535 Len=0 TSval=1000 TSecr=0 WS=4 SACK_PERM"
"161","0.929735","10.1.2.9","10.1.1.2","TCP","94","","49153  >  47 [SYN] Seq=0 Win=65535 Len=0 TSval=1000 TSecr=0 WS=4 SACK_PERM"
"166","0.930941","10.1.2.19","10.1.1.2","TCP","94","","49153  >  57 [SYN] Seq=0 Win=65535 Len=0 TSval=1000 TSecr=0 WS=4 SACK_PERM"
"171","0.932073","10.1.2.15","10.1.1.2","TCP","94","","49153  >  53 [SYN] Seq=0 Win=65535 Len=0 TSval=1000 TSecr=0 WS=4 SACK_PERM"
"219","1.037130","10.1.2.3","10.1.1.2","TCP","94","","10  >  49154 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=1119 TSecr=0 WS=4 SACK_PERM"
"223","1.037560","10.1.2.5","10.1.1.2","TCP","94","","12  >  49156 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=1119 TSecr=0 WS=4 SACK_PERM"
