"No.","Time","Source","Destination","Protocol","Length","Sender IP address","Info"
"217","1.037049","10.1.1.2","10.1.2.3","TCP","94","","49154  >  10 [SYN] Seq=0 Win=65535 Len=0 TSval=0 TSecr=0 WS=4 SACK_PERM"
"221","1.037421","10.1.1.2","10.1.2.5","TCP","94","","49156  >  12 [SYN] Seq=0 Win=65535 Len=0 TSval=0 TSecr=0 WS=4 SACK_PERM"
"225","1.037786","10.1.1.2","10.1.2.7","TCP","94","","49158  >  14 [SYN] Seq=0 Win=65535 Len=0 TSval=0 TSecr=0 WS=4 SACK_PERM"
"229","1.040778","10.1.1.2","10.1.2.9","TCP","94","","49160  >  16 [SYN] Seq=0 Win=65535 Len=0 TSval=0 TSecr=0 WS=4 SACK_PERM"
"231","1.041060","10.1.1.2","10.1.2.11","TCP","94","","49162  >  18 [SYN] Seq=0 Win=65535 Len=0 TSval=0 TSecr=0 WS=4 SACK_PERM"
"235","1.041398","10.1.1.2","10.1.2.13","TCP","94","","49164  >  20 [SYN] Seq=0 Win=65535 Len=0 TSval=0 TSecr=0 WS=4 SACK_PERM"
"237","1.041600","10.1.1.2","10.1.2.15","TCP","94","","49166  >  22 [SYN] Seq=0 Win=65535 Len=0 TSval=0 TSecr=0 WS=4 SACK_PERM"
"239","1.041757","10.1.1.2","10.1.2.12","TCP","94","","49163  >  19 [SYN] Seq=0 Win=65535 Len=0 TSval=0 TSecr=0 WS=4 SACK_PERM"
"242","1.042171","10.1.1.2","10.1.2.12","TCP","94","","[TCP Retransmission] 49163  >  19 [SYN] Seq=0 Win=65535 Len=0 TSval=0 TSecr=0 WS=4 SACK_PERM"
"248","1.045073","10.1.1.2","10.1.2.17","TCP","94","","49168  >  24 [SYN] Seq=0 Win=65535 Len=0 TSval=0 TSecr=0 WS=4 SACK_PERM"
"252","1.045361","10.1.1.2","10.1.2.19","TCP","94","","49170  >  26 [SYN] Seq=0 Win=65535 Len=0 TSval=0 TSecr=0 WS=4 SACK_PERM"
"256","1.045760","10.1.1.2","10.1.2.21","TCP","94","","49172  >  28 [SYN] Seq=0 Win=65535 Len=0 TSval=0 TSecr=0 WS=4 SACK_PERM"
"286","1.119240","10.1.1.2","10.1.2.21","TCP","94","","59  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=1101 TSecr=1000 WS=4 SACK_PERM"
"290","1.122275","10.1.1.2","10.1.2.13","TCP","94","","51  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=1104 TSecr=1000 WS=4 SACK_PERM"
"294","1.123773","10.1.1.2","10.1.2.17","TCP","94","","55  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=1105 TSecr=1000 WS=4 SACK_PERM"
"298","1.124919","10.1.1.2","10.1.2.11","TCP","94","","49  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=1107 TSecr=1000 WS=4 SACK_PERM"
"303","1.126726","10.1.1.2","10.1.2.3","TCP","94","","41  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=1107 TSecr=1000 WS=4 SACK_PERM"
"307","1.127370","10.1.1.2","10.1.2.5","TCP","94","","43  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=1109 TSecr=1000 WS=4 SACK_PERM"
"311","1.128517","10.1.1.2","10.1.2.7","TCP","94","","45  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=1110 TSecr=1000 WS=4 SACK_PERM"
"315","1.129817","10.1.1.2","10.1.2.9","TCP","94","","47  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=1111 TSecr=1000 WS=4 SACK_PERM"
"319","1.131028","10.1.1.2","10.1.2.19","TCP","94","","57  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=1113 TSecr=1000 WS=4 SACK_PERM"
"323","1.132134","10.1.1.2","10.1.2.15","TCP","94","","53  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=1114 TSecr=1000 WS=4 SACK_PERM"
"633","1.443474","10.1.1.2","10.1.2.3","TCP","626","","[TCP Previous segment not captured] 49154  >  10 [ACK] Seq=5361 Ack=1 Win=131072 Len=536 TSval=1425 TSecr=1321"
"733","1.462579","10.1.1.2","10.1.2.13","FTP-DATA","626","","[TCP Previous segment not captured] FTP Data: 536 bytes"
"859","1.482170","10.1.1.2","10.1.2.17","TCP","626","","[TCP Previous segment not captured] 49168  >  24 [ACK] Seq=5361 Ack=1 Win=131072 Len=536 TSval=1464 TSecr=1356"
"953","1.639927","10.1.1.2","10.1.2.3","TCP","626","","[TCP Previous segment not captured] 49154  >  10 [ACK] Seq=15009 Ack=1 Win=131072 Len=536 TSval=1621 TSecr=1521"
"955","1.640157","10.1.1.2","10.1.2.3","TCP","626","","49154  >  10 [ACK] Seq=15545 Ack=1 Win=131072 Len=536 TSval=1621 TSecr=1521"
"1022","1.650182","10.1.1.2","10.1.2.7","TCP","626","","[TCP Previous segment not captured] 49158  >  14 [ACK] Seq=15009 Ack=1 Win=131072 Len=536 TSval=1632 TSecr=1532"
"1024","1.650502","10.1.1.2","10.1.2.7","TCP","626","","49158  >  14 [ACK] Seq=15545 Ack=1 Win=131072 Len=536 TSval=1632 TSecr=1532"
"1036","1.652486","10.1.1.2","10.1.2.5","TCP","626","","[TCP Previous segment not captured] 49156  >  12 [ACK] Seq=18225 Ack=1 Win=131072 Len=536 TSval=1634 TSecr=1533"
"1100","1.657954","10.1.1.2","10.1.2.7","TCP","626","","[TCP Previous segment not captured] 49158  >  14 [ACK] Seq=18225 Ack=1 Win=131072 Len=536 TSval=1640 TSecr=1538"
"1156","1.668330","10.1.1.2","10.1.2.11","TCP","626","","[TCP Previous segment not captured] 49162  >  18 [ACK] Seq=16081 Ack=1 Win=131072 Len=536 TSval=1650 TSecr=1548"
"1613","1.840427","10.1.1.2","10.1.2.3","TCP","626","","[TCP Previous segment not captured] 49154  >  10 [ACK] Seq=35377 Ack=1 Win=131072 Len=536 TSval=1822 TSecr=1722"
"1623","1.845618","10.1.1.2","10.1.2.3","TCP","626","","[TCP Previous segment not captured] 49154  >  10 [ACK] Seq=37521 Ack=1 Win=131072 Len=536 TSval=1827 TSecr=1727"
"1632","1.848858","10.1.1.2","10.1.2.5","TCP","626","","[TCP Previous segment not captured] 49156  >  12 [ACK] Seq=35377 Ack=1 Win=131072 Len=536 TSval=1830 TSecr=1730"
"2937","2.026304","10.1.1.2","10.1.2.2","TCP","94","","49153  >  9 [SYN] Seq=0 Win=65535 Len=0 TSval=0 TSecr=0 WS=4 SACK_PERM"
"2938","2.026609","10.1.1.2","10.1.2.4","TCP","94","","49155  >  11 [SYN] Seq=0 Win=65535 Len=0 TSval=0 TSecr=0 WS=4 SACK_PERM"
"2940","2.026803","10.1.1.2","10.1.2.8","TCP","94","","49159  >  15 [SYN] Seq=0 Win=65535 Len=0 TSval=0 TSecr=0 WS=4 SACK_PERM"
"2941","2.027036","10.1.1.2","10.1.2.16","TCP","94","","49167  >  23 [SYN] Seq=0 Win=65535 Len=0 TSval=0 TSecr=0 WS=4 SACK_PERM"
"2942","2.027508","10.1.1.2","10.1.2.16","TCP","94","","[TCP Retransmission] 49167  >  23 [SYN] Seq=0 Win=65535 Len=0 TSval=0 TSecr=0 WS=4 SACK_PERM"
"2946","2.028367","10.1.1.2","10.1.2.16","TCP","94","","[TCP Retransmission] 49167  >  23 [SYN] Seq=0 Win=65535 Len=0 TSval=0 TSecr=0 WS=4 SACK_PERM"
"2948","2.028582","10.1.1.2","10.1.2.18","TCP","94","","49169  >  25 [SYN] Seq=0 Win=65535 Len=0 TSval=0 TSecr=0 WS=4 SACK_PERM"
