"No.","Time","Source","Destination","Protocol","Length","Antenna signal","Data rate (Mb/s)","SSID","Signal strength (dBm)","Type/Subtype","Info"
"1","0.000000000","","7a:66:f5:a2:e6:f5","802.11","70","-89 dBm,-94 dBm,-89 dBm","2","","-89 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"2","0.005007856","","7a:66:f5:a2:e6:f5","802.11","70","-87 dBm,-92 dBm,-87 dBm","2","","-87 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"3","0.038194803","","7a:66:f5:a2:e6:f5","802.11","70","-88 dBm,-91 dBm,-88 dBm","2","","-88 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"4","0.043738551","","7a:66:f5:a2:e6:f5","802.11","70","-87 dBm,-95 dBm,-87 dBm","2","","-87 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"5","3.914668913","","7a:66:f5:a2:e6:f5","802.11","70","-88 dBm,-91 dBm,-88 dBm","2","","-88 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"6","3.969690968","","7a:66:f5:a2:e6:f5","802.11","70","-90 dBm,-93 dBm,-90 dBm","2","","-90 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"7","4.017902209","","7a:66:f5:a2:e6:f5","802.11","70","-88 dBm,-92 dBm,-88 dBm","2","","-88 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"8","4.069852520","","7a:66:f5:a2:e6:f5","802.11","70","-89 dBm,-92 dBm,-89 dBm","2","","-89 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"9","6.856875504","","AristaNetwor_c5:4b:b1","802.11","70","-47 dBm,-52 dBm,-47 dBm","1","","-47 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"10","8.073722865","","NothingTechn_96:ab:54","802.11","70","-90 dBm,-90 dBm,-91 dBm","2","","-91 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"11","11.769164077","","7a:66:f5:a2:e6:f5","802.11","70","-90 dBm,-93 dBm,-90 dBm","2","","-90 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"12","11.776898490","","OnePlusTechn_bd:07:df","802.11","70","-89 dBm,-93 dBm,-89 dBm","1","","-89 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"13","11.864240823","","7a:66:f5:a2:e6:f5","802.11","70","-90 dBm,-92 dBm,-90 dBm","2","","-90 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"14","11.876814700","","Apple_50:3a:18","802.11","70","-90 dBm,-91 dBm,-90 dBm","1","","-90 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"15","11.909181260","","7a:66:f5:a2:e6:f5","802.11","70","-89 dBm,-93 dBm,-89 dBm","2","","-89 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"16","15.733636343","","NothingTechn_96:ab:54","802.11","70","-90 dBm,-93 dBm,-90 dBm","2","","-90 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"17","15.761461041","","NothingTechn_96:ab:54","802.11","70","-91 dBm,-91 dBm,-91 dBm","2","","-91 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"18","15.781080096","","NothingTechn_96:ab:54","802.11","70","-91 dBm,-91 dBm,-93 dBm","2","","-93 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"19","19.748943582","","7a:66:f5:a2:e6:f5","802.11","70","-93 dBm,-95 dBm,-93 dBm","2","","-93 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"20","19.810065406","","NothingTechn_96:ab:54","802.11","70","-91 dBm,-91 dBm,-92 dBm","2","","-92 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"21","31.650763904","","7a:66:f5:a2:e6:f5","802.11","70","-90 dBm,-93 dBm,-90 dBm","2","","-90 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"22","31.705679892","","7a:66:f5:a2:e6:f5","802.11","70","-89 dBm,-91 dBm,-89 dBm","2","","-89 dBm","Acknowledgement","Acknowledgement, Flags=........C"
