"No.","Time","Source","Destination","Protocol","Length","Antenna signal","Data rate (Mb/s)","SSID","Signal strength (dBm)","Info"
"1","0.000000000","AristaNetwor_c5:53:60","Broadcast","802.11","437","-86 dBm,-86 dBm,-89 dBm","12","""LAPTOP-S""","-89 dBm","Beacon frame, SN=772, FN=0, Flags=........C, BI=100, SSID=""LAPTOP-S"""
"2","0.000316561","AristaNetwor_c5:53:61","Broadcast","802.11","437","-86 dBm,-86 dBm,-89 dBm","12","""MOBILE-S""","-89 dBm","Beacon frame, SN=3622, FN=0, Flags=........C, BI=100, SSID=""MOBILE-S"""
"3","0.000850895","AristaNetwor_c5:53:62","Broadcast","802.11","436","-86 dBm,-86 dBm,-89 dBm","6","""GUEST-N""","-89 dBm","Beacon frame, SN=3672, FN=0, Flags=........C, BI=100, SSID=""GUEST-N"""
"4","0.007977195","AristaNetwor_78:be:12","Broadcast","802.11","436","-89 dBm,-90 dBm,-89 dBm","6","""GUEST-N""","-89 dBm","Beacon frame, SN=1861, FN=0, Flags=........C, BI=100, SSID=""GUEST-N"""
"5","0.102259377","AristaNetwor_c5:53:60","Broadcast","802.11","437","-85 dBm,-85 dBm,-89 dBm","12","""LAPTOP-S""","-89 dBm","Beacon frame, SN=773, FN=0, Flags=........C, BI=100, SSID=""LAPTOP-S"""
"6","0.102555717","AristaNetwor_c5:53:61","Broadcast","802.11","437","-86 dBm,-86 dBm,-89 dBm","12","""MOBILE-S""","-89 dBm","Beacon frame, SN=3623, FN=0, Flags=........C, BI=100, SSID=""MOBILE-S"""
"7","0.103129297","AristaNetwor_c5:53:62","Broadcast","802.11","436","-86 dBm,-86 dBm,-89 dBm","6","""GUEST-N""","-89 dBm","Beacon frame, SN=3673, FN=0, Flags=........C, BI=100, SSID=""GUEST-N"""
"8","0.205926506","AristaNetwor_c5:53:60","Broadcast","802.11","437","-86 dBm,-86 dBm,-89 dBm","12","""LAPTOP-S""","-89 dBm","Beacon frame, SN=774, FN=0, Flags=........C, BI=100, SSID=""LAPTOP-S"""
"9","0.211072002","AristaNetwor_c5:4d:62","Broadcast","802.11","436","-88 dBm,-88 dBm,-90 dBm","6","""GUEST-N""","-90 dBm","Beacon frame, SN=2747, FN=0, Flags=........C, BI=100, SSID=""GUEST-N"""
"10","0.277853178","AristaNetwor_c5:4b:b0","Broadcast","802.11","437","-73 dBm,-73 dBm,-81 dBm","12","""LAPTOP-S""","-81 dBm","Beacon frame, SN=2223, FN=0, Flags=........C, BI=100, SSID=""LAPTOP-S"""
"11","0.278144865","AristaNetwor_c5:4b:b1","Broadcast","802.11","437","-73 dBm,-73 dBm,-81 dBm","12","""MOBILE-S""","-81 dBm","Beacon frame, SN=3093, FN=0, Flags=........C, BI=100, SSID=""MOBILE-S"""
"12","0.278693235","AristaNetwor_c5:4b:b2","Broadcast","802.11","436","-73 dBm,-73 dBm,-81 dBm","6","""GUEST-N""","-81 dBm","Beacon frame, SN=771, FN=0, Flags=........C, BI=100, SSID=""GUEST-N"""
"13","0.306715436","42:40:0c:27:31:b0","Broadcast","802.11","260","-89 dBm,-89 dBm,-92 dBm","1","""MKR-new""","-92 dBm","Beacon frame, SN=1299, FN=0, Flags=........C, BI=100, SSID=""MKR-new"""
"14","0.352285693","2a:b8:02:f0:1e:54","Broadcast","802.11","252","-52 dBm,-60 dBm,-52 dBm","1","""badabing""","-52 dBm","Beacon frame, SN=2305, FN=0, Flags=........C, BI=100, SSID=""badabing"""
"15","0.380241042","AristaNetwor_c5:4b:b0","Broadcast","802.11","437","-73 dBm,-73 dBm,-82 dBm","12","""LAPTOP-S""","-82 dBm","Beacon frame, SN=2224, FN=0, Flags=........C, BI=100, SSID=""LAPTOP-S"""
"16","0.380533654","AristaNetwor_c5:4b:b1","Broadcast","802.11","437","-73 dBm,-73 dBm,-82 dBm","12","""MOBILE-S""","-82 dBm","Beacon frame, SN=3094, FN=0, Flags=........C, BI=100, SSID=""MOBILE-S"""
"17","0.381081795","AristaNetwor_c5:4b:b2","Broadcast","802.11","436","-73 dBm,-73 dBm,-82 dBm","6","""GUEST-N""","-82 dBm","Beacon frame, SN=772, FN=0, Flags=........C, BI=100, SSID=""GUEST-N"""
"18","0.454653505","2a:b8:02:f0:1e:54","Broadcast","802.11","252","-51 dBm,-55 dBm,-51 dBm","1","""badabing""","-51 dBm","Beacon frame, SN=2306, FN=0, Flags=........C, BI=100, SSID=""badabing"""
"19","0.482639257","AristaNetwor_c5:4b:b0","Broadcast","802.11","437","-73 dBm,-73 dBm,-81 dBm","12","""LAPTOP-S""","-81 dBm","Beacon frame, SN=2225, FN=0, Flags=........C, BI=100, SSID=""LAPTOP-S"""
"20","0.482936161","AristaNetwor_c5:4b:b1","Broadcast","802.11","437","-73 dBm,-73 dBm,-81 dBm","12","""MOBILE-S""","-81 dBm","Beacon frame, SN=3095, FN=0, Flags=........C, BI=100, SSID=""MOBILE-S"""
"21","0.483487740","AristaNetwor_c5:4b:b2","Broadcast","802.11","436","-73 dBm,-73 dBm,-81 dBm","6","""GUEST-N""","-81 dBm","Beacon frame, SN=773, FN=0, Flags=........C, BI=100, SSID=""GUEST-N"""
"22","0.959591549","AristaNetwor_78:bd:b0","Broadcast","802.11","437","-87 dBm,-87 dBm,-91 dBm","12","""LAPTOP-S""","-91 dBm","Beacon frame, SN=2527, FN=0, Flags=........C, BI=100, SSID=""LAPTOP-S"""
