"No.","Time","Source","Destination","Protocol","Length","Antenna signal","Data rate (Mb/s)","SSID","Signal strength (dBm)","Type/Subtype","Info"
"217","4.544628027","192.168.33.211","17.253.18.198","TCP","150","-39 dBm,-40 dBm,-39 dBm","144.444","","-39 dBm","QoS Data","58844  >  80 [FIN, ACK] Seq=1 Ack=1 Win=2053 Len=0 TSval=1957993827 TSecr=3314241134"
"271","8.440415499","2402:3a80:1bd5:d964:c9a3:a1a8:4554:7741","2402:3a80:1bd5:d964::57","ICMPv6","293","-38 dBm,-43 dBm,-38 dBm","144.444","","-38 dBm","QoS Data","Destination Unreachable (Port unreachable)"
"275","8.441314751","2402:3a80:1bd5:d964:c9a3:a1a8:4554:7741","2404:6800:4002:815::200e","QUIC","1376","-38 dBm,-43 dBm,-38 dBm","144.444","","-38 dBm","QoS Data","Initial, DCID=18bbd547c6951034, PKN: 1, CRYPTO"
"276","8.441320063","2402:3a80:1bd5:d964:c9a3:a1a8:4554:7741","2404:6800:4002:815::200e","QUIC","1376","-38 dBm,-43 dBm,-38 dBm","144.444","","-38 dBm","QoS Data","Initial, DCID=18bbd547c6951034, PKN: 2, CRYPTO, CRYPTO, PING, PADDING, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, PING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PADDING, PING, PADDING, CRYPTO, CRYPTO"
"280","8.442568633","2402:3a80:1bd5:d964:c9a3:a1a8:4554:7741","2404:6800:4002:815::200e","TCP","182","-38 dBm,-43 dBm,-38 dBm","144.444","","-38 dBm","QoS Data","58881  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1298 WS=64 TSval=1674000220 TSecr=0 SACK_PERM"
"281","8.442755348","2402:3a80:1bd5:d964:c9a3:a1a8:4554:7741","2606:4700::6811:180e","QUIC","1376","-38 dBm,-43 dBm,-38 dBm","144.444","","-38 dBm","QoS Data","Initial, DCID=cf0737ed66c37faa, PKN: 1, CRYPTO"
"282","8.442764885","2402:3a80:1bd5:d964:c9a3:a1a8:4554:7741","2606:4700::6811:180e","QUIC","1376","-38 dBm,-43 dBm,-38 dBm","144.444","","-38 dBm","QoS Data","Initial, DCID=cf0737ed66c37faa, PKN: 2, PING, CRYPTO, PADDING, PING, PING, PING, PADDING, CRYPTO, PADDING, CRYPTO, PADDING, PING, PADDING, CRYPTO, PING, PADDING, CRYPTO, PING, PING, CRYPTO, CRYPTO, PING"
"283","8.442767887","2402:3a80:1bd5:d964:c9a3:a1a8:4554:7741","2606:4700:4400::6812:2844","TCP","182","-38 dBm,-43 dBm,-38 dBm","144.444","","-38 dBm","QoS Data","58882  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1298 WS=64 TSval=2145343006 TSecr=0 SACK_PERM"
"284","8.442773178","2402:3a80:1bd5:d964:c9a3:a1a8:4554:7741","2402:3a80:1bd5:d964::57","DNS","184","-38 dBm,-43 dBm,-38 dBm","144.444","","-38 dBm","QoS Data","Standard query 0xf571 AAAA connect.facebook.net"
"285","8.442776445","2402:3a80:1bd5:d964:c9a3:a1a8:4554:7741","2402:3a80:1bd5:d964::57","DNS","184","-38 dBm,-43 dBm,-38 dBm","144.444","","-38 dBm","QoS Data","Standard query 0xf3df A connect.facebook.net"
"286","8.442779781","2402:3a80:1bd5:d964:c9a3:a1a8:4554:7741","2402:3a80:1bd5:d964::57","DNS","184","-38 dBm,-43 dBm,-38 dBm","144.444","","-38 dBm","QoS Data","Standard query 0x432a HTTPS connect.facebook.net"
"290","8.449823219","2404:6800:4002:825::200e","2402:3a80:1bd5:d964:c9a3:a1a8:4554:7741","TCP","178","-27 dBm,-33 dBm,-27 dBm","117","","-27 dBm","QoS Data","443  >  58880 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1360 SACK_PERM TSval=2495363268 TSecr=3482142038 WS=256"
"297","8.453486659","2402:3a80:1bd5:d964:c9a3:a1a8:4554:7741","2404:6800:4002:825::200e","TCP","170","-38 dBm,-43 dBm,-38 dBm","144.444","","-38 dBm","QoS Data","58880  >  443 [ACK] Seq=1 Ack=1 Win=2049 Len=0 TSval=3482142084 TSecr=2495363268"
"301","8.453861355","2402:3a80:1bd5:d964:c9a3:a1a8:4554:7741","2404:6800:4002:825::200e","TCP","1456","-38 dBm,-43 dBm,-38 dBm","144.444","","-38 dBm","QoS Data","58880  >  443 [ACK] Seq=1 Ack=1 Win=2049 Len=1286 TSval=3482142084 TSecr=2495363268 [TCP PDU reassembled in 302]"
"302","8.453871867","2402:3a80:1bd5:d964:c9a3:a1a8:4554:7741","2404:6800:4002:825::200e","TLSv1.3","1128","-38 dBm,-43 dBm,-38 dBm","144.444","","-38 dBm","QoS Data","Client Hello (SNI=www.youtube.com)"
"320","8.483961192","2a03:2880:f144:82:face:b00c:0:25de","2402:3a80:1bd5:d964:c9a3:a1a8:4554:7741","QUIC","1378","-27 dBm,-34 dBm,-27 dBm","117","","-27 dBm","QoS Data","Initial, SCID=b021010b1c1f6ce0"
"321","8.483969750","2a03:2880:f144:82:face:b00c:0:25de","2402:3a80:1bd5:d964:c9a3:a1a8:4554:7741","QUIC","432","-27 dBm,-34 dBm,-27 dBm","117","","-27 dBm","QoS Data","Handshake, SCID=b021010b1c1f6ce0"
"322","8.483974086","2a03:2880:f144:82:face:b00c:0:25de","2402:3a80:1bd5:d964:c9a3:a1a8:4554:7741","QUIC","194","-27 dBm,-34 dBm,-27 dBm","117","","-27 dBm","QoS Data","Protected Payload (KP0)"
"324","8.483982893","2a03:2880:f144:82:face:b00c:0:25de","2402:3a80:1bd5:d964:c9a3:a1a8:4554:7741","QUIC","226","-28 dBm,-34 dBm,-28 dBm","117","","-28 dBm","QoS Data","Protected Payload (KP0)"
"326","8.486663586","2a03:2880:f144:82:face:b00c:0:25de","2402:3a80:1bd5:d964:c9a3:a1a8:4554:7741","QUIC","194","-27 dBm,-34 dBm,-27 dBm","117","","-27 dBm","QoS Data","Protected Payload (KP0)"
"328","8.486696981","2a03:2880:f144:82:face:b00c:0:25de","2402:3a80:1bd5:d964:c9a3:a1a8:4554:7741","QUIC","194","-28 dBm,-34 dBm,-28 dBm","117","","-28 dBm","QoS Data","Protected Payload (KP0)"
"331","8.489048945","2a03:2880:f144:82:face:b00c:0:25de","2402:3a80:1bd5:d964:c9a3:a1a8:4554:7741","QUIC","418","-28 dBm,-33 dBm,-28 dBm","117","","-28 dBm","QoS Data","Protected Payload (KP0)"
"333","8.489082640","2a03:2880:f144:82:face:b00c:0:25de","2402:3a80:1bd5:d964:c9a3:a1a8:4554:7741","QUIC","194","-27 dBm,-33 dBm,-27 dBm","117","","-27 dBm","QoS Data","Protected Payload (KP0)"
"337","8.489100203","2402:3a80:1bd5:d964:c9a3:a1a8:4554:7741","2a03:2880:f144:82:face:b00c:0:25de","QUIC","227","-38 dBm,-43 dBm,-38 dBm","144.444","","-38 dBm","QoS Data","Handshake, DCID=b021010b1c1f6ce0"
"338","8.489104507","2402:3a80:1bd5:d964:c9a3:a1a8:4554:7741","2a03:2880:f144:82:face:b00c:0:25de","QUIC","180","-38 dBm,-43 dBm,-38 dBm","144.444","","-38 dBm","QoS Data","Protected Payload (KP0), DCID=b021010b1c1f6ce0"
"342","8.491183090","2402:3a80:1bd5:d964:c9a3:a1a8:4554:7741","2a03:2880:f144:82:face:b00c:0:25de","QUIC","184","-38 dBm,-43 dBm,-38 dBm","144.444","","-38 dBm","QoS Data","Protected Payload (KP0), DCID=b021010b1c1f6ce0"
