"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","AristaNetwor_c5:53:60","Broadcast","802.11","437","Beacon frame, SN=772, FN=0, Flags=........C, BI=100, SSID=""LAPTOP-S"""
"2","0.000316561","AristaNetwor_c5:53:61","Broadcast","802.11","437","Beacon frame, SN=3622, FN=0, Flags=........C, BI=100, SSID=""MOBILE-S"""
"3","0.000850895","AristaNetwor_c5:53:62","Broadcast","802.11","436","Beacon frame, SN=3672, FN=0, Flags=........C, BI=100, SSID=""GUEST-N"""
"4","0.007977195","AristaNetwor_78:be:12","Broadcast","802.11","436","Beacon frame, SN=1861, FN=0, Flags=........C, BI=100, SSID=""GUEST-N"""
"5","0.102259377","AristaNetwor_c5:53:60","Broadcast","802.11","437","Beacon frame, SN=773, FN=0, Flags=........C, BI=100, SSID=""LAPTOP-S"""
"6","0.102555717","AristaNetwor_c5:53:61","Broadcast","802.11","437","Beacon frame, SN=3623, FN=0, Flags=........C, BI=100, SSID=""MOBILE-S"""
"7","0.103129297","AristaNetwor_c5:53:62","Broadcast","802.11","436","Beacon frame, SN=3673, FN=0, Flags=........C, BI=100, SSID=""GUEST-N"""
"8","0.205926506","AristaNetwor_c5:53:60","Broadcast","802.11","437","Beacon frame, SN=774, FN=0, Flags=........C, BI=100, SSID=""LAPTOP-S"""
"9","0.211072002","AristaNetwor_c5:4d:62","Broadcast","802.11","436","Beacon frame, SN=2747, FN=0, Flags=........C, BI=100, SSID=""GUEST-N"""
"10","0.277853178","AristaNetwor_c5:4b:b0","Broadcast","802.11","437","Beacon frame, SN=2223, FN=0, Flags=........C, BI=100, SSID=""LAPTOP-S"""
"11","0.278144865","AristaNetwor_c5:4b:b1","Broadcast","802.11","437","Beacon frame, SN=3093, FN=0, Flags=........C, BI=100, SSID=""MOBILE-S"""
"12","0.278693235","AristaNetwor_c5:4b:b2","Broadcast","802.11","436","Beacon frame, SN=771, FN=0, Flags=........C, BI=100, SSID=""GUEST-N"""
"13","0.294453184","OnePlusTechn_c8:11:e9","IPv4mcast_fb","802.11","298","Data, SN=406, FN=0, Flags=.p....F.C"
"14","0.297200199","","42:40:0c:27:31:b0 (42:40:0c:27:31:b0) (RA)","802.11","70","Clear-to-send, Flags=........C"
"15","0.298046642","f2:6d:13:ff:00:3c","Broadcast","802.11","421","Data, SN=407, FN=0, Flags=.p....F.C"
"16","0.300835440","Google_09:ab:a6","IPv4mcast_fb","802.11","509","Data, SN=408, FN=0, Flags=.p....F.C"
"17","0.301157436","Google_09:ab:a6","IPv4mcast_fb","802.11","509","Data, SN=409, FN=0, Flags=.p....F.C"
"18","0.301733136","Google_09:ab:a6","IPv4mcast_fb","802.11","494","Data, SN=410, FN=0, Flags=.p....F.C"
"19","0.302396530","42:40:0c:27:31:b0 (42:40:0c:27:31:b0) (BSSID)","Broadcast (ff:ff:ff:ff:ff:ff) (RA)","802.11","76","CF-End (Control-frame), Flags=........C"
"20","0.303954117","SamsungElect_09:97:2f","IPv6mcast_02","802.11","168","Data, SN=411, FN=0, Flags=.p....F.C"
"21","0.306715436","42:40:0c:27:31:b0","Broadcast","802.11","260","Beacon frame, SN=1299, FN=0, Flags=........C, BI=100, SSID=""MKR-new"""
