System_Timestamp,SSID,BSSID,Signal_Strength,Bit_Rate,Transmission_Power,Frequency_Band
10:07:51,GUEST-N,30:86:2D:C5:4B:A2,58,2064,22,5805
10:08:01,GUEST-N,30:86:2D:C5:4B:A2,63,2064,22,5805
10:08:11,GUEST-N,30:86:2D:C5:4B:A2,60,2064,22,5805
10:08:21,GUEST-N,30:86:2D:C5:4B:A2,59,2064,22,5805
10:08:31,GUEST-N,30:86:2D:C5:4B:A2,50,2064,22,5805
10:08:41,GUEST-N,30:86:2D:C5:4B:A2,51,2064,22,5805
10:08:51,GUEST-N,30:86:2D:C5:4B:A2,64,2064,22,5805
10:09:01,GUEST-N,30:86:2D:78:BD:A2,48,117,22,52
10:09:11,GUEST-N,30:86:2D:78:BD:A2,60,117,22,52
10:09:22,GUEST-N,30:86:2D:78:BD:A2,65,117,22,52
10:09:32,GUEST-N,30:86:2D:78:BD:A2,65,117,22,52
10:09:42,GUEST-N,30:86:2D:78:BD:A2,50,117,22,52
10:09:52,GUEST-N,30:86:2D:78:BD:A2,45,117,22,52
